feature,importance
V222,0.00075469207
V329,0.000752156
V219,0.0007482963
V8,0.00074348674
V251,0.00074160495
id_20,0.0007344184
V338,0.00072880375
id_24,0.00072448596
V249,0.0007149775
V265,0.00071082934
V164,0.00070764223
V108,0.0007052267
id_13,0.00070410146
V143,0.00069744844
V196,0.0006792928
V226,0.00067263155
V199,0.00067136786
V52,0.0006652674
dist2,0.000662762
V269,0.00066192815
V175,0.000660078
V284,0.0006556251
V106,0.00065548037
C7,0.0006509737
id_11,0.00064900727
V142,0.0006451917
V139,0.0006417789
V239,0.0006372772
V242,0.00063432095
V225,0.0006316774
V302,0.0006274393
V180,0.00061979814
V113,0.00061693374
V288,0.0006167243
V209,0.00061410357
V58,0.0006067444
V216,0.0006039075
V9,0.0006015222
V123,0.00059881754
V272,0.0005977506
V234,0.0005937054
V168,0.0005889021
V166,0.0005848041
V259,0.00058420806
V184,0.0005821621
V208,0.0005797096
V221,0.0005790996
V243,0.000576018
V158,0.00057541905
id_07,0.0005745842
V260,0.0005731801
V85,0.0005675242
V193,0.0005666004
id_26,0.0005660388
V203,0.00056582235
V334,0.00056537695
D7,0.000558682
id_23,0.0005549989
day_of_week,0.00055234024
V238,0.00055187667
V339,0.0005472863
V178,0.00054456166
V247,0.00054115243
V150,0.0005389105
id_19,0.0005351075
V167,0.0005349205
id_38,0.000533577
id_28,0.00052275776
id_25,0.0005203181
V111,0.00051907334
V144,0.0005189312
V192,0.0005149946
V16,0.0005137217
V266,0.00050846516
V118,0.0005058275
V254,0.00050514285
V185,0.0005045592
V169,0.00050224055
V303,0.00049609353
V112,0.0004960557
V256,0.00049220317
V215,0.00049207703
V267,0.0004896749
V104,0.00048933225
V204,0.00048220684
V270,0.00047488775
D9,0.000472966
V264,0.00047055236
V214,0.00046992645
V220,0.00046929467
V271,0.000463934
V181,0.00046029213
V274,0.00045285842
V17,0.00044588838
V232,0.00044563162
V141,0.00044514265
is_weekend,0.00044194842
id_37,0.00044035586
V84,0.000439394
V190,0.00043325318
V233,0.00042766248
V277,0.00042640616
id_04,0.0004148499
V223,0.0004067769
V195,0.00040651488
id_10,0.00040650132
V255,0.00040412456
V186,0.00040391143
V101,0.00040326183
V146,0.00039362133
V202,0.0003871389
V132,0.0003866811
id_08,0.00038330676
V32,0.00037785756
V205,0.00037613264
V42,0.0003752328
V116,0.00035749064
V174,0.00035684713
V328,0.00033793904
V276,0.0003365501
V125,0.0003352761
V114,0.00033486227
V18,0.0003303883
V263,0.00032861656
V122,0.00031277866
V39,0.000310349
V325,0.00030604473
V153,0.00029018437
V14,0.00028979106
V236,0.00027973595
V147,0.00026738754
V235,0.0002114746
V179,0.00018127149
V230,0.0001750424
V15,6.13231e-05
V121,3.179213e-05
V107,0.0
address_is_shared,0.0
V68,0.0
V89,0.0
V305,0.0
id_22,0.0
V117,0.0
V119,0.0
V120,0.0
email_domain_is_rare,0.0
V41,0.0
email_is_highrisk,0.0
id_35,0.0
id_27,0.0
V28,0.0
V27,0.0
V240,0.0
V330,0.0
V241,0.0
